CATINIC;CATFIM;DESCRICAO;DESCRABREV;
T51;T65;Efeitos tóxicos de substâncias de origem predominantemente não-medicinal;Efeitos tóxicos subst origem predom não-medicinal;
T66;T78;Outros efeitos de causas externas e os não especificados;Outros efeitos de causas externas e os não espec;
T79;T79;Algumas complicações precoces de traumatismos;Algumas complicações precoces de traumatismos;
T80;T88;Complicações de cuidados médicos e cirúrgicos, não classificados em outra parte;Complicações cuidados médicos e cirúrgicos, NCOP;
T90;T98;Seqüelas de traumatismos, de intoxicações e de outras conseqüências das causas externas;Seqüelas traum, intox e outr conseq causas extern;
V01;X59;Acidentes;Acidentes;
V01;V99;Acidentes de transporte;Acidentes de transporte;
V01;V09;Pedestre traumatizado em um acidente de transporte;Pedestre traumatizado em um acidente de transporte;
V10;V19;Ciclista traumatizado em um acidente de transporte;Ciclista traumatizado em um acidente de transporte;
V20;V29;Motociclista traumatizado em um acidente de transporte;Motociclista traumat em um acidente de transporte;
V30;V39;Ocupante de triciclo motorizado traumatizado em um acidente de transporte;Ocupante triciclo motorizado traumat acid transp;
V40;V49;Ocupante de um automóvel traumatizado em um acidente de transporte;Ocupante automóvel traumat acidente transporte;
V50;V59;Ocupante de uma caminhonete traumatizado em um acidente de transporte;Ocupante caminhonete traumat acidente transporte;
V60;V69;Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte;Ocupante veíc transp pesado traumat acid transp;
V70;V79;Ocupante de um ônibus traumatizado em um acidente de transporte;Ocupante ônibus traumat acidente de transporte;
V80;V89;Outros acidentes de transporte terrestre;Outros acidentes de transporte terrestre;
V90;V94;Acidentes de transporte por água;Acidentes de transporte por água;
V95;V97;Acidentes de transporte aéreo e espacial;Acidentes de transporte aéreo e espacial;
V98;V99;Outros acidentes de transporte e os não especificados;Outros acidentes de transporte e os não especif;
W00;X59;Outras causas externas de traumatismos acidentais;Outras causas externas de traumatismos acidentais;
W00;W19;Quedas;Quedas;
W20;W49;Exposição a forças mecânicas inanimadas;Exposição a forças mecânicas inanimadas;
W50;W64;Exposição a forças mecânicas animadas;Exposição a forças mecânicas animadas;
W65;W74;Afogamento e submersão acidentais;Afogamento e submersão acidentais;
W75;W84;Outros riscos acidentais à respiração;Outros riscos acidentais à respiração;
W85;W99;Exposição à corrente elétrica, à radiação e às temperaturas e pressões extremas do ambiente;Expos corr elétr, radiação e temp press extrem amb;
X00;X09;Exposição à fumaça, ao fogo e às chamas;Exposição à fumaça, ao fogo e às chamas;
X10;X19;Contato com uma fonte de calor ou com substâncias quentes;Contato com fonte de calor ou substâncias quentes;
X20;X29;Contato com animais e plantas venenosos;Contato com animais e plantas venenosos;
X30;X39;Exposição às forças da natureza;Exposição às forças da natureza;
X40;X49;Envenenamento [intoxicação] acidental por e exposição à substâncias nocivas;Envenenamento acidental e exposição subst nocivas;
X50;X57;Excesso de esforços, viagens e privações;Excesso de esforços, viagens e privações;
X58;X59;Exposição acidental a outros fatores e aos não especificados;Exposição acidental a outr fatores e aos não espec;
X60;X84;Lesões autoprovocadas intencionalmente;Lesões autoprovocadas intencionalmente;
X85;Y09;Agressões;Agressões;
Y10;Y34;Eventos (fatos) cuja intenção é indeterminada;Eventos (fatos) cuja intenção é indeterminada;
Y35;Y36;Intervenções legais e operações de guerra;Intervenções legais e operações de guerra;
Y40;Y84;Complicações de assistência médica e cirúrgica;Complicações de assistência médica e cirúrgica;
